yemen_unscaled,yemen_monthly,isPartial,scale,yemen
0,26.0,False,0.26,0.0
0,26.0,,0.26,0.0
0,26.0,,0.26,0.0
0,26.0,,0.26,0.0
0,26.0,,0.26,0.0
0,26.0,,0.26,0.0
100,26.0,,0.26,26.0
0,26.0,,0.26,0.0
0,26.0,,0.26,0.0
0,26.0,,0.26,0.0
0,26.0,,0.26,0.0
0,26.0,,0.26,0.0
0,26.0,,0.26,0.0
0,26.0,,0.26,0.0
0,26.0,,0.26,0.0
0,26.0,,0.26,0.0
0,26.0,,0.26,0.0
0,26.0,,0.26,0.0
0,26.0,,0.26,0.0
0,26.0,,0.26,0.0
0,26.0,,0.26,0.0
0,26.0,,0.26,0.0
0,26.0,,0.26,0.0
0,26.0,,0.26,0.0
0,26.0,,0.26,0.0
0,26.0,,0.26,0.0
0,26.0,,0.26,0.0
0,26.0,,0.26,0.0
0,26.0,,0.26,0.0
0,26.0,,0.26,0.0
0,26.0,,0.26,0.0
0,26.0,False,0.26,0.0
0,26.0,,0.26,0.0
0,26.0,,0.26,0.0
0,26.0,,0.26,0.0
0,26.0,,0.26,0.0
0,26.0,,0.26,0.0
0,26.0,,0.26,0.0
0,26.0,,0.26,0.0
0,26.0,,0.26,0.0
0,26.0,,0.26,0.0
0,26.0,,0.26,0.0
0,26.0,,0.26,0.0
0,26.0,,0.26,0.0
0,26.0,,0.26,0.0
100,26.0,,0.26,26.0
0,26.0,,0.26,0.0
0,26.0,,0.26,0.0
0,26.0,,0.26,0.0
0,26.0,,0.26,0.0
0,26.0,,0.26,0.0
0,26.0,,0.26,0.0
0,26.0,,0.26,0.0
0,26.0,,0.26,0.0
0,26.0,,0.26,0.0
0,26.0,,0.26,0.0
0,26.0,,0.26,0.0
0,26.0,,0.26,0.0
0,26.0,,0.26,0.0
0,26.0,,0.26,0.0
0,26.0,,0.26,0.0
0,24.0,False,0.24,0.0
0,24.0,,0.24,0.0
0,24.0,,0.24,0.0
0,24.0,,0.24,0.0
0,24.0,,0.24,0.0
0,24.0,,0.24,0.0
0,24.0,,0.24,0.0
0,24.0,,0.24,0.0
0,24.0,,0.24,0.0
0,24.0,,0.24,0.0
0,24.0,,0.24,0.0
0,24.0,,0.24,0.0
0,24.0,,0.24,0.0
0,24.0,,0.24,0.0
0,24.0,,0.24,0.0
0,24.0,,0.24,0.0
0,24.0,,0.24,0.0
0,24.0,,0.24,0.0
100,24.0,,0.24,24.0
0,24.0,,0.24,0.0
0,24.0,,0.24,0.0
0,24.0,,0.24,0.0
0,24.0,,0.24,0.0
0,24.0,,0.24,0.0
0,24.0,,0.24,0.0
0,24.0,,0.24,0.0
