syria_unscaled,syria_monthly,isPartial,scale,syria
0,5.0,,0.05,0.0
0,5.0,,0.05,0.0
0,5.0,,0.05,0.0
0,5.0,,0.05,0.0
0,5.0,,0.05,0.0
0,5.0,,0.05,0.0
0,5.0,,0.05,0.0
0,5.0,,0.05,0.0
0,5.0,,0.05,0.0
0,5.0,,0.05,0.0
0,5.0,,0.05,0.0
0,5.0,,0.05,0.0
0,5.0,,0.05,0.0
0,5.0,,0.05,0.0
97,5.0,,0.05,4.8500000000000005
0,5.0,,0.05,0.0
0,5.0,,0.05,0.0
0,5.0,,0.05,0.0
0,5.0,,0.05,0.0
0,5.0,,0.05,0.0
0,5.0,,0.05,0.0
0,5.0,,0.05,0.0
0,5.0,,0.05,0.0
100,5.0,,0.05,5.0
0,5.0,,0.05,0.0
0,5.0,,0.05,0.0
0,5.0,,0.05,0.0
0,5.0,,0.05,0.0
0,5.0,,0.05,0.0
100,5.0,False,0.05,5.0
0,5.0,,0.05,0.0
0,5.0,,0.05,0.0
0,5.0,,0.05,0.0
0,5.0,,0.05,0.0
0,5.0,,0.05,0.0
0,5.0,,0.05,0.0
0,5.0,,0.05,0.0
0,5.0,,0.05,0.0
0,5.0,,0.05,0.0
0,5.0,,0.05,0.0
0,5.0,,0.05,0.0
0,5.0,,0.05,0.0
0,5.0,,0.05,0.0
96,5.0,,0.05,4.800000000000001
0,5.0,,0.05,0.0
0,5.0,,0.05,0.0
0,5.0,,0.05,0.0
0,5.0,,0.05,0.0
0,5.0,,0.05,0.0
0,5.0,,0.05,0.0
0,5.0,,0.05,0.0
0,5.0,,0.05,0.0
0,5.0,,0.05,0.0
0,5.0,,0.05,0.0
0,5.0,,0.05,0.0
0,5.0,,0.05,0.0
0,5.0,,0.05,0.0
0,2.0,False,0.02,0.0
0,2.0,,0.02,0.0
0,2.0,,0.02,0.0
0,2.0,,0.02,0.0
0,2.0,,0.02,0.0
0,2.0,,0.02,0.0
0,2.0,,0.02,0.0
0,2.0,,0.02,0.0
0,2.0,,0.02,0.0
0,2.0,,0.02,0.0
0,2.0,,0.02,0.0
0,2.0,,0.02,0.0
100,2.0,,0.02,2.0
0,2.0,,0.02,0.0
0,2.0,,0.02,0.0
0,2.0,,0.02,0.0
0,2.0,,0.02,0.0
0,2.0,,0.02,0.0
0,2.0,,0.02,0.0
0,2.0,,0.02,0.0
0,2.0,,0.02,0.0
0,2.0,,0.02,0.0
0,2.0,,0.02,0.0
0,2.0,,0.02,0.0
0,2.0,,0.02,0.0
0,2.0,,0.02,0.0
0,2.0,,0.02,0.0
0,2.0,,0.02,0.0
0,2.0,,0.02,0.0
0,2.0,,0.02,0.0
0,2.0,,0.02,0.0
0,2.0,False,0.02,0.0
0,2.0,,0.02,0.0
0,2.0,,0.02,0.0
0,2.0,,0.02,0.0
0,2.0,,0.02,0.0
0,2.0,,0.02,0.0
0,2.0,,0.02,0.0
0,2.0,,0.02,0.0
0,2.0,,0.02,0.0
0,2.0,,0.02,0.0
0,2.0,,0.02,0.0
0,2.0,,0.02,0.0
0,2.0,,0.02,0.0
0,2.0,,0.02,0.0
0,2.0,,0.02,0.0
0,2.0,,0.02,0.0
0,2.0,,0.02,0.0
100,2.0,,0.02,2.0
0,2.0,,0.02,0.0
0,2.0,,0.02,0.0
0,2.0,,0.02,0.0
0,2.0,,0.02,0.0
0,2.0,,0.02,0.0
0,2.0,,0.02,0.0
0,2.0,,0.02,0.0
0,2.0,,0.02,0.0
0,2.0,,0.02,0.0
0,2.0,,0.02,0.0
0,2.0,,0.02,0.0
0,2.0,,0.02,0.0
